time,portsrc,portdest,bl,d,f,o,r,rb,t,tb,w
21:45:48.056,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.076,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.076,8888,58552,0,0,0,0,1817182208,131072,0,2626560,0
21:45:48.076,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.076,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.076,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.076,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.096,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.096,8888,58552,0,0,0,0,1807745024,131072,0,2626560,0
21:45:48.096,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.096,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.096,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.096,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.116,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.116,8888,58552,0,0,0,0,1797259264,131072,0,2626560,0
21:45:48.116,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.116,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.116,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.116,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.136,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.136,8888,58552,0,0,0,0,1787822080,131072,0,2626560,0
21:45:48.136,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.136,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.136,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.136,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.157,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.157,8888,58552,0,0,0,0,1778384896,131072,0,2626560,0
21:45:48.157,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.157,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.157,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.157,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.177,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.177,8888,58552,0,0,0,0,1767899136,131072,0,2626560,0
21:45:48.177,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.177,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.177,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.177,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.197,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.197,8888,58552,0,0,0,0,1758461952,131072,0,2626560,0
21:45:48.197,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.197,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.197,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.197,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.217,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.217,8888,58552,0,0,0,0,1749024768,131072,0,2626560,0
21:45:48.217,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.217,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.217,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.217,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.237,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.237,8888,58552,0,0,0,0,1738539008,131072,0,2626560,0
21:45:48.237,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.237,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.237,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.237,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.257,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.257,8888,58552,0,0,0,0,1729101824,131072,0,2626560,0
21:45:48.257,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.257,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.257,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.257,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.277,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.277,8888,58552,0,0,0,0,1719664640,131072,0,2626560,0
21:45:48.277,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.277,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.277,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.277,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.297,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.297,8888,58552,0,0,0,0,1710227456,131072,0,2626560,0
21:45:48.297,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.297,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.297,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.297,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.317,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.317,8888,58552,0,0,0,0,1699741696,131072,0,2626560,0
21:45:48.317,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.317,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.317,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.317,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.337,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.337,8888,58552,0,0,0,0,1690304512,131072,0,2626560,0
21:45:48.337,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.337,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.337,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.337,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.357,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.357,8888,58552,0,0,0,0,1680375808,131072,0,2626560,0
21:45:48.357,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.357,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.357,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.357,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.378,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.378,8888,58552,0,0,0,0,1670381568,131072,0,2626560,0
21:45:48.378,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.378,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.378,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.378,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.397,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.397,8888,58552,0,0,0,0,1660944384,131072,0,2626560,0
21:45:48.397,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.397,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.397,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.397,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.417,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.417,8888,58552,0,0,0,0,1651507200,131072,0,2626560,0
21:45:48.417,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.417,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.417,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.417,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.437,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.437,8888,58552,0,0,0,0,1641021440,131072,0,2626560,0
21:45:48.437,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.437,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.437,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.437,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.457,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.457,8888,58552,0,0,0,0,1631584256,131072,0,2626560,0
21:45:48.457,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.457,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.457,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.457,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.477,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.477,8888,58552,0,0,0,0,1622147072,131072,0,2626560,0
21:45:48.477,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.477,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.477,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.477,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.498,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.498,8888,58552,0,0,0,0,1612709888,131072,0,2626560,0
21:45:48.498,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.498,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.498,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.498,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.518,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.518,8888,58552,0,0,0,0,1602224128,131072,0,2626560,0
21:45:48.518,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.518,58552,8888,0,0,0,0,0,131072,0,2626560,0
21:45:48.518,5555,34362,0,0,0,0,0,131072,0,2626560,0
21:45:48.518,34360,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.538,5555,34360,0,0,0,0,0,131072,0,2626560,0
21:45:48.538,8888,58552,0,0,0,0,1592786944,131072,0,2626560,0
21:45:48.538,34362,5555,0,0,0,0,0,131072,0,2626560,0
21:45:48.538,58552,8888,0,0,0,0,0,131072,0,2626560,0
